User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
primachou,0.8154 (54),-3.1814 (225),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (356),82.60 (201),,2015-02-10 15:25:53+00:00,model1.zip,False
Muser_Hao,0.8154 (54),-3.1817 (226),0.8738 (43),0.7011 (55),0.3520 (36),2.96 (386),82.80 (202),,2015-02-10 17:53:11+00:00,submit.zip,False
primachou,0.8154 (54),-3.2123 (232),0.8738 (43),0.7011 (55),0.3520 (36),2.95 (389),84.00 (203),,2015-02-10 16:02:08+00:00,model2.zip,False
jana.kludas,0.8045 (94),0.6105 (193),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (208),84.20 (204),,2015-01-23 11:01:13+00:00,sample_result_submission_v0008.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8633 (48),0.8075 (37),0.2784 (79),1495.10 (6),84.40 (205),Final auto (27),2015-01-26 13:56:03+00:00,submission20150126_1.zip,False
jana.kludas,0.8045 (94),0.6055 (196),0.8738 (43),0.7011 (55),0.3520 (36),3.10 (140),84.80 (206),,2015-01-22 13:34:22+00:00,sample_result_submission_v0008.zip,False
jana.kludas,0.8045 (94),0.6017 (197),0.8738 (43),0.7011 (55),0.3520 (36),2.90 (420),85.00 (207),,2015-01-22 14:11:29+00:00,sample_result_submission_v0009.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2077 (81),1193.05 (26),85.20 (208),Second auto (25),2015-01-21 08:40:46+00:00,submission20150121_2.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2077 (81),1192.64 (29),85.20 (208),Final auto (29),2015-01-27 14:30:48+00:00,submission20150127_1.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2077 (81),1199.68 (24),85.20 (208),Final auto (30),2015-01-28 08:54:08+00:00,submission20150128_1.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2077 (81),1192.87 (28),85.20 (208),Final auto (31),2015-01-28 09:32:51+00:00,submission20150128_2.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2072 (82),1193.01 (27),85.40 (209),Second auto (24),2015-01-21 07:58:12+00:00,submission20150121_1.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.8524 (50),0.8075 (37),0.2072 (82),1193.13 (25),85.40 (209),Second auto (26),2015-01-21 10:21:47+00:00,submission20150121_3.zip,False
zhenwen,0.8153 (55),-0.0417 (218),0.8156 (56),0.7011 (55),0.3502 (49),841.64 (70),86.60 (210),,2015-02-11 13:40:42+00:00,sample_submission.zip,False
marc.boulle,0.8143 (70),0.6365 (188),0.7932 (57),0.8120 (35),0.1444 (86),510.02 (75),87.20 (211),First auto (19),2015-01-16 12:46:33+00:00,submission20150116_4.zip,False
aad_freiburg,0.8011 (100),0.4399 (210),0.9315 (29),0.8405 (19),0.0399 (91),1188.57 (31),89.80 (212),,2015-02-13 17:22:37+00:00,submission_auto.zip,False
jana.kludas,0.8045 (94),-3.1821 (228),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (314),91.20 (213),,2015-01-22 11:58:33+00:00,sample_result_submission_v0008.zip,False
aad_freiburg,0.7999 (102),0.6002 (198),0.9366 (26),0.7831 (41),0.0040 (96),1190.42 (30),92.60 (214),,2015-01-14 09:58:51+00:00,submission_55.zip,False
aad_freiburg,0.8090 (83),-0.9254 (221),0.9298 (30),0.8071 (38),0.0052 (94),13.86 (97),93.20 (215),,2015-01-12 17:02:07+00:00,submission_1.zip,False
aad_freiburg,0.8016 (99),0.3478 (212),0.9391 (24),0.8239 (30),-0.0013 (104),1187.99 (34),93.80 (216),,2015-02-13 20:40:46+00:00,submission_31.zip,True
aad_freiburg,0.7108 (126),-0.0329 (217),0.9259 (31),0.8256 (29),0.0569 (89),1188.36 (32),98.40 (217),,2015-02-11 15:27:33+00:00,submission_76.zip,False
tadej,0.8019 (98),-3.1821 (229),0.9376 (25),0.6997 (60),0.0028 (98),1631.21 (4),102.00 (218),,2015-02-10 17:00:38+00:00,automl_sample_submission_15-02-08-14-16.zip,True
tadej,0.7884 (108),0.1556 (213),0.8498 (51),0.7627 (44),0.0014 (101),2393.28 (1),103.40 (219),,2015-02-08 12:09:12+00:00,automl_sample_submission_15-02-07-22-26.zip,False
shiyenshi,0.7417 (114),0.6057 (195),0.8633 (49),0.3204 (65),-0.0482 (106),90.54 (84),105.80 (220),Run longer,2015-01-27 13:06:38+00:00,Archive.zip,False
shiyenshi,0.7417 (114),0.6057 (195),0.8633 (49),0.3204 (65),-0.0482 (106),87.87 (88),105.80 (220),,2015-01-27 13:51:59+00:00,Archive.zip,False
shiyenshi,0.7417 (114),0.6057 (195),0.8633 (49),0.3204 (65),-0.0482 (106),90.01 (85),105.80 (220),,2015-01-27 13:58:38+00:00,automl_my_submission_15-01-27-22-56-22.zip,False
shiyenshi,0.7417 (114),0.6057 (195),0.8633 (49),0.3204 (65),-0.0482 (106),93.46 (82),105.80 (220),,2015-01-28 09:41:35+00:00,automl_my_submission_15-01-28-18-39-55.zip,True
john.smith.machine,0.8045 (93),0.4854 (209),0.8736 (44),0.0000 (78),-0.0531 (111),2.87 (446),107.00 (221),,2015-01-29 07:50:40+00:00,john.smith.machine.zip,False
djajetic,0.7992 (103),0.5955 (200),0.9047 (40),-1.0000 (82),-1.0000 (112),1275.53 (11),107.40 (222),,2015-02-10 22:52:01+00:00,automl_sample_submission_15-02-10-23-46.zip,False
shiyenshi,0.7319 (116),0.1280 (214),0.8633 (49),0.3204 (65),-0.0530 (108),88.19 (87),110.40 (223),Simple Test,2015-01-27 12:33:34+00:00,Archive.zip,False
tadej,0.1126 (129),-3.1821 (230),0.1777 (64),0.8134 (34),0.0041 (95),2116.80 (2),110.40 (223),,2015-02-07 19:58:08+00:00,automl_sample_submission_15-02-07-20-18.zip,False
shiyenshi,0.7417 (114),-1.0000 (222),0.8633 (49),0.3204 (65),-0.0482 (106),88.97 (86),111.20 (224),,2015-01-27 14:27:26+00:00,Archive.zip,False
shiyenshi,0.7417 (114),-1.0000 (222),0.8633 (49),0.3204 (65),-0.0482 (106),69.87 (92),111.20 (224),,2015-01-28 01:53:47+00:00,automl_my_submission_15-01-28-10-50-48.zip,False
shiyenshi,0.7417 (114),-1.0000 (222),0.8633 (49),0.3204 (65),-0.0482 (106),79.27 (89),111.20 (224),,2015-01-28 04:15:55+00:00,automl_my_submission_15-01-28-13-14-27.zip,False
momohuang,0.7323 (115),0.1280 (215),0.7468 (62),0.2910 (66),-0.0529 (107),70.18 (91),113.00 (225),,2015-01-25 02:26:39+00:00,automl_my_submission_15-01-25-10-15.zip,True
matthias.vonrohr,0.7219 (117),-3.1821 (227),-0.0021 (67),-0.1433 (81),-0.0008 (102),248.40 (76),118.80 (226),,2015-02-01 13:55:03+00:00,automl_sample_submission_15-02-01-14-18.zip,False
igor.chikalov,-1.0000 (130),-3.1821 (231),0.0000 (65),0.0000 (78),-0.0531 (111),6.80 (101),123.00 (227),A stub to push the account to the last place,2015-01-13 10:12:52+00:00,submission_ideal_data_zero.zip,True
john.smith.machine,-1.0000 (130),-3.1821 (231),0.0000 (65),0.0000 (78),-0.0531 (111),3.01 (347),123.00 (227),,2015-02-13 18:21:40+00:00,zero.zip,True
