% This file contains 9 sets of sanitized user data drawn from the
% command histories of 8 UNIX computer users at Purdue over the course
% of up to 2 years (USER0 and USER1 were generated by the same person,
% working on different platforms and different projects).  The data is
% drawn from tcsh(1) history files and has been parsed and sanitized to
% remove filenames, user names, directory structures, web addresses,
% host names, and other possibly identifying items.  Command names,
% flags, and shell metacharacters have been preserved.  Additionally,
% **SOF** and **EOF** tokens have been inserted at the start and end of
% shell sessions, respectively.  Sessions are concatenated by date order
% and tokens appear in the order issued within the shell session, but no
% timestamps are included in this data.  For example, the two sessions:
% 
%         # Start session 1
%         cd ~/private/docs
%         ls -laF | more
%         cat foo.txt bar.txt zorch.txt > somewhere
%         exit
%         # End session 1
% 
%         # Start session 2
%         cd ~/games/
%         xquake &
%         fg
%         vi scores.txt
%         mailx john_doe@somewhere.com
%         exit
%         # End session 2
% 
% would be represented by the token stream
% 
%         **SOF**
%         cd
%         <1>                     # one "file name" argument
%         ls
%         -laF
%         |
%         more
%         cat
%         <3>                     # three "file" arguments
%         >
%         <1>
%         exit
%         **EOF**
%         **SOF**
%         cd
%         <1>
%         xquake
%         &
%         fg
%         vi
%         <1>
%         mailx
%         <1>
%         exit
%         **EOF**
% 
% 
% This data is made available under conditions of anonymity for the
% contributing users and may be used for research purposes only.
% Summaries and research results employing this data may be published,
% but literal tokens or token sequences from the data may not be
% published except with express consent of the originators of the data.
% No portion of this data may be released with or included in a
% commercial product, nor may any portion of this data be sold or
% redistributed for profit or as part of of a profit-making endeavor.
% 
% Please direct any questions regarding this data to Terran Lane:
% terran@ecn.purdue.edu.
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation UNIX_user_data

@attribute history INTEGER
@attribute session STRING
@attribute user {USER0,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8}

@data
0383,'elm r <1> fg lo',USER3
0384,'ls cd <1> ls more <1> ls more <1> ls cd <1> ls cd <1> ls cd <1> cd r <1> r -l <2> elm lo',USER3
0385,'elm lo',USER3
0386,'elm more <1> more <1> cd <1> ls cd <1> fg more <1> fg more <1> more <1> fg rm <1> fg lo',USER3
0387,'elm vi <1> fg lo',USER3
0388,'more <1> pwd cd <1> ls vi <1> ls cd <1> ls <GENSYM:8>/netscape cd <1> ls cd cd <1> vi <1> vi <1> lo',USER3
0389,'elm lo',USER3
0390,'elm lo',USER3
0391,'elm vi <1> fgf fg fg jobs elm elm cd <1> vi <1> ls cp <2> vi <1> fg elm lo',USER3
0392,'vi <1> more <1> lo',USER3
0393,'ls sun lo',USER3
0394,'elm more <1> fg vi <1> fg fg sun fg lo',USER3
0395,'lo',USER3
0396,'elm lo',USER3
0397,'elm lo',USER3
0398,'elm more <1> fg f <1> ls cd <1> ls more <1> vi <1> elm lo',USER3
0399,'elm vt100 elm lynx <1> ls elm fg ls ls -al sz <1> ls rm <1> ls q -v home ls cd <1> ls sz <1> sz <1> q - q -v cd ls rm <1> q -v ls more <1> rm <1> q -v ls cd <1> ls du cd <1> du cd <1> ls ls -al rm -006033 rm <1> ls ls -al cd <1> ls cd <1> ls ls -al more <1> rm <1> q -v cd <1> ls cd <1> ls cd <1> cd <1> ls rm <1> cd <1> ls rm <1> cd <1> ls cd <1> ls rm <1> cd <1> cd <1> cd <1> cd <1> ls cd <1> ls cd <1> ls rm <1> ls q -v ls rm <2> q -v cd <1> ls cd <1> ls cd ls ls -al ls -al | more cd <1> ls cd <1> mroe <1> cd <1> tar <3> & ls ls <1> ls | more more <1> gzip <1> ls ls <1> | more rm <1> ls q -v cd <1> elm lo',USER3
0400,'cd <1> ls mkdir <1> cd <1> ls lynx <1> vt100 e ; , elm fg q ls ls ls -al sz <1> cd elm lo',USER3
0401,'elm lo',USER3
0402,'elm lo',USER3
0403,'elm lo',USER3
0404,'elm telnet <1> elm lo',USER3
0405,'vt100 elm sun ls cd <1> ls q -v ls cd <1> ls mkdir <1> cd <1> r <1>',USER3
0406,'vi <1> lo',USER3
0407,'r <1> elm vt100 elm sun ls elm lo',USER3
0408,'elm cd <1> chmod <2> ls cd <1> ls chmod <2> cd <1> ls chmod <2> ls -al cd <1> ls -al chmod <2> ls -al cd <1> ls -al expert exp mre <1> mroe <1> aekumcu ls cd <1> ls more <1> lo',USER3
0409,'vt100 elm cdd <1> cd <1> vi <1> vi <1> fg sun cd ls expert aekumcu lynx <1> aekumcu lynx <1> aekumcu lynx <1> elm lynx <1> elm lo',USER3
0410,'elm lo',USER3
0411,'vt100 elm f <1> ph <1> ph <4> elm fg sun fg q -v ls telnet <1> lynx <1> fg elm vi <1> rm <1> fg elm lo',USER3
0412,'vt100 elm more <1> telnet <1>',USER3
0413,'telnet <1> jobs elm vt100 elm telnet <1> ls sz <1> ls ls rm <1> cd <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> ls cd <1> cd <1> ls cd <1> ls elm lo',USER3
0414,'elm lo',USER3
0415,'elm lo',USER3
0416,'elm telnet <1> jobs fg lo',USER3
0417,'elm vi <1> fg lo',USER3
0418,'elm',USER3
0419,'cd <1> vi <1> vi <1> elm lo',USER3
0420,'elm ls -al <1> fg ls home pwd elm ls cd <1> ls cd <2> ls msl20 <1> eaclear ls p -d <1>',USER3
0421,'home cd <1> ls lp -d <2> pages lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages elm ls cd ls cd <1> ls cd <1> ls cd <1> ls more <1> fg f <1> | more fg ls cd ls more <1> ls mv <2> mv <2> elm ls vi <1> vi <1> lp -d <2> fg r <1> jobs lo',USER3
0422,'elm',USER3
0424,'vt100 elm ps df jen jobs cd <1> ls more <1> ; 1 more <1> ; 2 more <1> ; 3 more <1> ; more <1> ; 4 more <1> ; 5 more <1> ; 6 elm ls f <1> cd <1> ls tar <3> cd <1> rm -rf <1> q -v ls ps f <1> ps  kill -9 <1> kill -9 <1> | more ps  | more q -v ls cd <1> ls ls -al rm <1> rm <1> tar <3> q -v ls ls -al make <1> ls rm <1> q -v ls ls -al rm <1> q -v cd <1> ls ls -al cd <1> ls cd <1> ls sz <1> & ls fg ls more <1> cd <1> ls cd <1> rm <1> cd <1> ls ls -al q -v tar <3> gzip <1> ftp <1> ftp <1> ftp <1> r <1> r <1> jobs cd ps q -v ps  ps  | more r <1> ftp <1> ls f <1> r <1> ftp <1> ls -al | more ftp <1> r <1> r <1> elm lo',USER3
0425,'vt100 elm r <1>',USER3
0426,'r <1>',USER3
0427,'r <1> r <1>',USER3
0428,'vt100 elm jobs r <1>',USER3
0429,'vt100 elm elm dad jen dad josh lo',USER3
0430,'vt100 elm r <1> elm lo',USER3
0431,'vt100 elm f <1> date r <1> elm f <1> lo',USER3
0432,'vt100 elm r <1> fg lo',USER3
0433,'vt100 elm f <1> c jen dad josh lo',USER3
0434,'vt100 elm f <1> jen c dad date gwen fg r <1> fg history f <1> josb jobs fg fg f <1> c fg c fg fg f <1> ph <4> ph <4> ph <1> f <1> finger <1> ph ph finger <1> fg finger <1> dad telnet <1> telnet <1> fg f <1> josb jobs fg fg pause fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> fg <1> josb fg history dad history f <1> fg lo',USER3
0435,'vt100 elm ls cd <1> ls cd <1> ls cd <1> ls cd ls cd <1> ls cd <1> ls cd <1> ls cd ls cd <1> ls cd cd <1> ls mkdir <1> cd <1> cd <1> cd <1> ls cd <1> cd <1> rz gunzip <1> ls tar <2> ls q -v fg lo',USER3
0436,'vt100 elm ls vi <1> vi <1> s <1> ender fg josh date fg history lo',USER3
0437,'ender',USER3
0438,'ender date clear vt10 vt100 clear clear jobs elm f <1> josh date lo',USER3
0439,'lo',USER3
0440,'vt100 elm jen lo',USER3
0441,'vt100 elm ls rz rz ls ender fg lo',USER3
0442,'vt100 elm f <1> f <1> ender jobs fg elm f <1> lo',USER3
0443,'ender ls jobs elm ls vt100 elm jen dad mroe <1> ps jobs fg f <1> lo',USER3
0444,'vt100 elm more <1> motd man <1> fg jen lo',USER3
0445,'vt100 elm ender',USER3
0446,'ender vt100 elm f <1> date fg elm f <1> dad josh elm josh date jobs elm jobs josh josh jen jobs lo',USER3
0447,'ender elm vt100 elm dad jen josh f <1> f <1> f <1> f <1> f <1> | more ender elm fg lo',USER3
0448,'ender ls cd <1> ls cd <1> ls mkdir <1> cd <1> rz gunzip <1> tar <2> ender ls mroe <1> mroe <1> vi <1> vt100 vi <1> vi <1> vi <1> more <1> more <1> mroe <1> mroe <1> vi <1> ls more <1> vi <1> rm <1> ls mroe <1> ls mroe <1> rm <1> ls mv <2> ls ls <1> vt100 elm dad josh f <1> jen date lo',USER3
0449,'cd <1> ls lp -d <2> jobs lwinfo lwinfo <1> vt100 elm rz ls more <1> lp -d <2> ls elm c lo',USER3
0450,'vt100 elm jen dad josh pause dad jobs fg <1> fg <1> ender elm fg ls cd <1> ls cd <1> ls more <1> josb jobs josh mroe <1> jobs fg josh fg pause jobs fg ender fg josh fg josh josh fg dad jen fg josh pause josb fg jobs josh date dad jen ender fg jos jos josh ls josb jobs fg dad ls f <1> f <1> jobs fg ender jobs fg ls fg pause fg ender fg lo',USER3
0451,'vt100 elm',USER3
0452,'vt100 e ; , elm dad rz rlogin <1> rlogin <1> this <1> jsdaklfjeij <3>',USER3
0453,'ls cd <1> ls cd ls mkdir <1> cd <1> ftp <1> ls tar <2> ls ftp <1> tar <2> tar <2> ls mroe <1> ls more <1> history ftp <1> ls rm <1> ls rm <5> ls gunzip <1> tar <2> ls vi <1> lp -d <2> jobs elm clear lo',USER3
0454,'elm ls cd <1> ls mroe <1> vi <1> vi <1> vt100 vi <1> setenv <2> clear vi <1> vi <1> more <1> vi <1> vi <1> vi <1> more <1> vi <1> more <1> more <1> vi <1> vi <1> ls ls -al vi <1> vi <1> ls vi <1> ls vi <1> ls more <1> vi <1> vi <1> ls vi <1> vi <1> more <1> ls lwinfo <1> ls more <1> ls mv <2> ls lp -dmsl20 <1> fg elm ls lwinfo <1> lp -dmsl22 <1> ls lpstat <1> lpstat lpstat <1> lpstat <1> history man <1> man <1> lpstat <1> ls lo',USER3
0455,'ls ls q -v clear ls cd <1> f <1> | more ls cd <1> ls cd <1> ls cd <1> ls cd <1> cd <1> ls vi <1> date f <1> f <1> | more fg elm lo',USER3
0456,'elm vt100 elm telnet <1> logout',USER3
0457,'vt100 elm jen josh fg elm f <1> f <1> date lo',USER3
0458,'elm logout',USER3
0459,'vt100 elm Af <1> f <1> dad lo',USER3
0460,'elm jen f <1> exp w vi <1> f <1> elp exp elm josh f <1> exp elm logout',USER3
0461,'elm josh dad f <1> fg gwen ls ls <1> rm <1> ls more <1> rm <1> ls rm <1> ls more <1> rm <1> ls cd <1> ls cd <1> ls mroe <1> ls mroe <1> ls mroe <1> ls mroe <1> mroe <1> ls cd <1> ls more <1> ls more <1> cd cd <1> cd <1> ls cd <1> ls vi <1> cd <1> vi <1> cd <1> vi <1> vi <1> vi <1> fg josh date jen exp fg josh f <1> f <1> lynx <1> jobs fg jobs fg f <1> | more ls more <1> vi <1> ls ls -al | more fg josh fg josh fg elm josh jobs fg josh cd <1> ls vi <1> vi <1> lynx jobs fg <1> fg <1> jobs fg <1> more <1> rm <1> vi <1> ls mv <2> ls ls <1> vi <1> ls more <1> fg ls -al <1> fg vi <1> rm <1> rm <1> rm <1> jobs fg <1> fg fg ls jobs elm josh fg nad date lo',USER3
0462,'vt100 elm elm jen elm josh fg lo',USER3
0463,'jen exp elm gwen date fg josh fg gwen josh fg date josh dad dad josh dad vi <1> f <1> chfn f <1> man <1> vi <1> f <1> vi <1> f <1> vi <1> vi <1> f <1> vi <1> f <1> josh jobs fg vi <1> fg f <1> vi <1> f <1> f <1> f <1> ph <3> fg cd <1> ls more <1> rm <1> ls cd fg elm josh jobs f <1> lo',USER3
0464,'elm jen exp elm',USER3
0465,'jen elm josh gwen date lo',USER3
0466,'jen elm exp',USER3
0467,'elm josh jen elm jen josh f <1> elm jen fg elm jos josh josh fg josh fg josh josh jen josh jen f <1> date josh josh josh elm josh josh josh fuck <10> fuckhead jen elm josh fg fg jen jen josh',USER3
0468,'cd <1> cd <1> vi <1> josh gwen jen jobs cd <1> vi <1> vi <1> ls -al ls mv <2> ls -al <1> chmod <2> vi <1> fg jobs f <1> cd vi <1> f <1> fg fg f <1> vi <1> f <1> josh elm gwen jen lo',USER3
0469,'cd <1> vi <1> josb g fg cd <1> vi <1> elm cd cd <1> l ls vi <1>',USER3
0470,'elm lo',USER3
0471,'jen josh date jen dad f <1> cd <1> vi <1> vi -r <1> elm vi <1> fg cd jobs jen telnet <1> f <1> vi <1> sc ismd telnet <1> f <1> f <1> josh ismd elm josh jen dad gwen ismd lo',USER3
0472,'elm jen fg josh dad gwen jen lo',USER3
0473,'ojsh jen josh elm gwen date dad josh exp josh josh lo',USER3
0474,'elm josah josh jen dad lo',USER3
0475,'elm josh fg jen elm f <1> f <1> ph <3> dad ph <1> elm josh lo',USER3
0476,'elm jen josh gwen gwen elm f <1> date fg f <1> f <1> josh josh fg f <1> josh dad aylin fg lo',USER3
0477,'jen elm josh fg cd <1> ls mv <2> fg jen josh lo',USER3
0478,'elm cd <1> ls cd <1> ls cd <1> ls more <1> ls more <1> cd <1> ls more <1> jobs fg cd <1> more <1> ls cd <1> ls more <1> cd ls more <1> ls cd <1> ls cd <1> ls cd <1> ls mroe <1> ls more <1> ls cd ls cd <1> ls cd <1> ls cd telnet <1> fg josh ls josb jobs fg ls cd <1> cd <1> ls more <1> ls more <1> more <1> ls more <1> elm mroe <1> rm <1> fg more <1> ls cd <1> ls cd <1> ls cd <1> ls cd cd <1> fg ls more <1> vi <1> gwen jobs fg <1> fg josh gwen fg ls more <1> more <1> rm <1> ls q -v cd cd <1> tar <3> gzip <1> q -v ls cd ls cd <1> mv <2> cd <1> ls cd <1> ls rm -rf <1> q -v cd ls cd <1> ls more <1> ls mv <2> more <1> ls more <1> ls more <1> more <1> q -v jobs gwen josh date ls cd ls cd <1> cd <1> ls rm <1> cd <1> rmdir <1> ls cd <1> ls cd <1> more <1> cd <1> ls cd <1> ls cd <1> ls cd <1> ls rmdir <1> mv <2> ls more <1> rm <1> f <1> ls rm <2> ls more <1> ls cd <1> ls more <1> elm jen fg josh gwen lo',USER3
0479,'elm telnet <1> jobs fg josh fg o josh lo',USER3
0480,'telnet <1> elm josh lo',USER3
0481,'elm josh f <1> josh lo',USER3
0482,'elm gwen fg lo',USER3
0483,'elm elm josh lo',USER3
0484,'elm lo',USER3
0485,'elm lo',USER3
0486,'elm ls more <1> vi <1> fg josh gwen lo',USER3
0487,'quit exit',USER3
0488,'elm lo',USER3
0489,'elm lo',USER3
0490,'elm ls more <1> rlogin -l <2>',USER3
0491,'vi <1> elm rlogin -l <2> fg elm f <1> f <1> josh elm lo',USER3
0492,'elm lo',USER3
0493,'elm lo',USER3
0494,'elm lo',USER3
0495,'lo',USER3
0496,'elm lo',USER3
0497,'lo',USER3
0498,'f <1> f <1> f <1> r <1> f <1> more <1> more <1> vi <1> whereis <1> where <1> chsh f <1> f <1> | more more <1> r <1> lo',USER3
0499,'f <1> | more lo',USER3
0500,'f <1> | more chsh fdfjasdlsdfjasjdfljasdfljasdfjlsadjsdfjlksdflkjasdflj r <1> q -v ls lkjsdf <5> elm f <1> f <1> f <1> jobs f <1> f <1> | more lo',USER3
0000,'elm',USER4
0001,'netscape & xlock xlock matlab',USER4
0002,'cd <1> man <1> man <1> man <1> man <1> troff man <1> man -s <2> cd <1> cd <1> ls troff <1> troff <1> | psdit > <1> man <1> troff <1> | psdit > <1> ghostview <1> & rm <1> troff <1> | psdit > <1> man <1> rm <1> troff -Tpsc <1> | psdit > <1> ghostview <1> & rm <1> dir <1> vi <1> vi <1> troff -Tpsc <1> | psdit > <1> troff -Tpsc <1> | psdit > <1> ghostview <1> & vi <1> man -s <2> dir rm <2> troff -Tpost <1> | psdit > <1> troff -Tmsa15 <1> | psdit > <1> rm <1> rm <1> troff -Tmsa15 <1> | psdit > <1> rm <1> man -s <2> troff -a <1> troff -a <1> | lp -dmsa15 troff -a <1> | lp -dmsa15 man -s <2> man <1> man -s <1> man -a <1> troff cd rlogin -l <2> rlogin -l <2> cd <1> dir vi <1> lp -dmsa15 <1> finger <1> eeph <1> xlock',USER4
0003,'logout',USER4
0004,'elm finger <1> rlogin <1> elm logout',USER4
0005,'elm cd <1> cd <1> ll vi <1> dir vi <1> elm ll rm <1> cat <1> cat <1> cd cd <1> dir vi <1> vi <1> cd <1> cd <1> cd <1> cd <1> ll cd <1> rm <1> dir cd <1> cd <1> rm <1> elm dir cd <1> cd sleep <1> foreach foreach foreach foreach man while 1 logout',USER4
0006,'elm logout',USER4
0007,'elm elm logout',USER4
0008,'elm logout',USER4
0009,'elm elm logout',USER4
0010,'elm logout',USER4
0011,'elm logout',USER4
0012,'elm logourt logout',USER4
0013,'xstart logout',USER4
0014,'elm elm elm',USER4
0015,'ssinfo cd <1> cd <1> vi <1> vi <1> cp <2> cd <1> vi <1>',USER4
0016,'cd <1> cd <1> dir emacs <1> & ghostview <1> & latex <1> dvips <1> latex <1> dvips <1> dir vi <1> latex <1> dir vi <1> dvips <1> latex <1> dvips <1> latex <1> latex <1> dvips <1> ll wc <1> cd <1> cd <1> ll cd <1> wc <1> cd <1> wc <1> cd <1> vi <1> vi <1> cd <1> ll vi <1> cd <1> latex <1> latex <1> bibtex latex <1> latex <1> dvips <1> latex <1> dvips <1> latex <1> dvips <1> lp -dmsa15 <1> vi <1> vi <1> latex <1> dvips <1> lp -dmsa15 <1> lp -dmsa15 <1>',USER4
0017,'elm logout',USER4
0018,'elm logout',USER4
0022,'elm',USER4
0023,'xlock netscape & eeph <1> xlock xlock matlab matlab xlock xlock xlock xlock',USER4
0024,'cd <1> cd <1> ls cd <1> ls cd <1> ls vi <1> cd rlogin -l <2> xlock',USER4
0025,'elm logout',USER4
0026,'elm logout',USER4
0027,'xstart logout',USER4
0028,'netscape &',USER4
0029,'xlock xlock finger <1> finger <1> finger <1> xlock xlock xlock cal <2> cal <2> cal <2> cal <2> cal <2> cal <2> xlock cd <1> cat <1> ll vi <1> vi <1> lp -dmsa15 <1> rm <1> lp -dmsa15 <1> rm <1> cd <1> cd <1> cat <1> lpstat <1> lp -dmsa15 <1> vi <1> lp -dmsa15 <1> cat <1> lpstat <1> cat <1> head <1> lp -dmsa15 <1> enscript -2r -dmsa15 <1> vi <1> cat <1> enscript -2r -dmsa15 <1> cat <1> | lp -dmsa15 lpstat <1> cat <1> | enscript -2r -dmsa15 vi <1> xlock cd <1> finger <1> eeph <1> finger <1> finger <1> finger <1> finger <1>',USER4
0030,'elm elm elm logout',USER4
0031,'logout',USER4
0032,'who w cd <1> dir cat <1> rm <1> cp <2> cat <1> ll <1> test23 | tee <1> rm <1> test23 | tee <1> man <1> test23 test23 test test test23 test23 test23 test23 test23 cd <1> cd <1> make cd <1> test23 test23 test23 rm <1> ll <1> rm <1> test23 | tee <1> cp <2> vi <1> test | tee <1> vi <1> ll vi <1> ll rm <1> vi <1> ll vi <1> grep <2> dir cp <2> cp <2> cd <1> cd <1> cd <1> cp <2> cp <2> test20 | tee <1> vi <1> cd <1> cd <1> test20 | tee <1> cp <2> cp <2> cd <1> ll rm <1> rm <1> cd <1> dir rm <1> test20 | tee <1> logout',USER4
0033,'netscape cd <1> ll play <1> play <1> play <1> ensig & ll ci -l <1> cp <2> vi <1> make make flatten flatten <3> play <1> man <1> man <1> man <1> man <1> ll pplain <1> | head -10 pplain <1> | head -10000 | tail -20 pplain <1> | head -10000 | tail -20 make flatten <3> make flatten <3> make make flatten <3> play <1> pplain <1> | head -10000 | tail -20 play <1> pplain <1> | head -10000 | tail -20 ll rm <1> cp <2> rehash time <2> cat <1> cp <2> rm <1> ll <1> ll rm <1> ll time <2> rm <1> time <2> ll play <1> rm <1> play <1> ll play <1> play <1> play <1> play <1> play <1> ll cd cd <1> dir cp <2> vi <1> rehash vi <1> vi <1> vi <1> cd <1> ll cd <1> pwd xlock ll cd <1> ll copytree <2> copytree <2> cd <1> dir cat <1> cat <1> cp <2> cd finger <1> finger <1> cd <1> ll dir cat <2> > <1> vi <1> vi <1> dir chmod <2> vi <1> vi <1> vi <1> vi <1> cd <1> ll flatten <3> head <1> mv <2> rm <1> flatten <3> play <1> mv <2> flatten <3> cd cd <1> ll vi <1> cd <1> netscape unalias <1> netscape & cd <1> ll play <1> play <1> play <1> df -k ll cd <1> ll md <1> ll cd <1> ll pwd ll play <1> play <1> play <1> play <1> cd cd <1> vi <1> cd <1> ll make cd <1> cd <1> ll pwd ll ll wild -v <3> wild -mv <2> wild <3> ll cd <1> vi <1> vi <1> dir cd cd <1> vi <1> cd <1> ll cd <1> ll cd <1> ll cd <1> cd cd <1> dir vi <1> cd <1> cd <1> cd <1> ll pwd ll play <1> play <1> play <1> play <1> cd cd <1> vi <1>',USER4
0034,'elm xlock elm',USER4
0035,'netscape & rlogin <1> cd <1> ll play <1> play <1> play <1> play <1> ll cd <1> ll cd <1> ll pwd ll cd <1> ll cd <1> rmdir <1> ll ll cd <1> ll cd <1> ll cd <1> cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> cd <1> ll cd <1> ll cd <1> ll cat <1> enscript -dmsa15 -2r <1> ll cd <1> ll cd <1> ll cd <1> ll cat <1> enscript -2r -dmsa15 <1> ll ll pwd rlogin <1> rlogin <1> rlogin <1>',USER4
0036,'ph <2> elm logout',USER4
0037,'cd <1> emacs <1> & ll make flatten flatten <3> make flatten <3> make flatten <3> make make flatten <3> diff <2> logout',USER4
0038,'elm logout',USER4
0039,'cd <1> cd <1> make make make make man -k <1> man <1> man <1> make make man <1> make man <1> man <1> make make make make make make man <1> make make make make cd <1> cd <1> ll cd <1> cd <1> cd <1> cd <1> ll cd <1> cd <1> cd <1> ll less <1> cd <1> make man <1> make make finger <1> cd <1> dir grep <2> grep <2> grep <2> grep <2> logout',USER4
0040,'elm logout',USER4
0041,'cd <1> cd <1> ll cd <1> ll cd <1> ll cd <1> cd <1> ll search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> dir cd <1> cd <1> dir cd <1> dir grep <2> grep <2> grep <1> < <1> grep <2> < <1> grep <2> < <1> cd <1> cd <1> cd <1> cd <1> cd <1> cd <2> cd <1> cd <1> cd <1> cd <1> cd <1> grep <2> grep <2> < <1> cd <1> cd <1> grep <2> < <1> grep <2> grep <2> < <1> grep <2> grep <2> cd <1> cd <1> ll cd <1> cd <1> dir search1 <1> search1 <1> search1 <1> search1 < <1> search1 <1> < <1> \' <\' search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <1> search1 <3> > <1>',USER4
0042,'w cd <1> time <3> w cd <1> emacs <1> & make make make make ci -l <1> logout',USER4
0043,'elm',USER4
0044,'rsh -fu <3> cd <1> ll cd <1> ll cd <1> ll tail <1> cd <1> ll cd <1> dir cd <1> dir cd <1> tail <1> vf <1> cd <1> ll HCheckout mkdir <1> cd <1> cp <2> egrep -v <2> > <1> ll vi <1> ll cp <2> cat <1> head <1> tail <1> mkdir <1> vi <1> which <1> H2HEd -T -H -w <5> > <1> ln -s <2> cd <1> cd <1> cd <1> ll cd <1> cd <1> cd <1> vi <1> dir cd <1> find -name -print <2> rsh -fu <3> HFree rsh -fu <3> cd <1> cd <1> ll cd <1> ll tail <1> cd <1> cd cd <1> ll cd <1> ll tail <1> cd <1> ll cd <1> ll cat <1> cd',USER4
0045,'xstart logout',USER4
0046,'rlogin <1> rlogin <1> rsh -fu <3> rsh <2> rsh -fu <3> cd <1> ll cd <1> ll tail <1> cd <1> tail <1> cd <1> cd <1> ll HCheckout cp <2> ll hedit <2> ll rlogin <1> cd',USER4
0047,'elm logout',USER4
0048,'elm logout',USER4
0049,'elm logout',USER4
0050,'who cat <1> | write <2> cat <1> | write <2> logout',USER4
0051,'elm logout',USER4
0052,'elm elm elm elm',USER4
0053,'cd <1> test dir vi <1> test dir vi <1> test vi <1> logout',USER4
0054,'cd <1> ll cd <1> ll cd <1> ll find -name - <3> find -name -print <2> find -name -print <2> cd <1> find -name -print <2> find -name -print <2> find -name -print <2> find -name -print <2> ll cd <1> ll cd <1> grep -i  <2> cd <1> grep -i  <2> cd <1> grep -i  <2> ll cd <1> ll cd <1> cd <1> grep -i  <2> cd <1> grep -i  <2> cd <1> grep -i  <2> vi <1> vi <1> grep -i  <2> cd cd <1> cd <1> ll cd <1> cd <1> ll head <1> cd cd <1> ll dir vi <1> cd <1> ll cd cd <1> cat <1> cd <1> cd <1> ll cd <1> dir ll cd <1> ll cd <1> cd <1> ll cd <1> cd <1> ll head <1> head <1> foreach ll foreach ll head <1> rm <1> wild -v <3> wild <3> ll head <1> head <1> cd <1> ll cd <1> ll :q ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> ll cd <1> dir cd cd <1> cd <1> ll cd <1> cat <1> ll cd <1> ll cd bin cd cd <1> ll dir cat <1> vi <1> cd <1> dir grepall <2> cd cd <1> vi <1> cd <1> grepall <2> cd cd <1> vi <1> vi <1> cd <1> grepall <1> man <1> grepall -l <1> cd cd <1> dir vi <1> cd <1> grepall -l <1> cd cd <1> vi <1> cd <1> grepall -l <1> cd cd <1> ll cd <1> ll cd <1> grepall <2> cd cd <1> ll vi <1> cd <1> grepall <1> cd <1> vi <1> cd <1> grepall <1> grepall -s <1> cd <1> vi <1> cd <1> cd <1> ll cd <1> ll ls echo <1> test ( 1 ) test <3>',USER4
0055,'netscape & cd <1> cd <1> cd <1> dir cd <1> ll <1> enscript -2r -dmsa15 <1> head -20 <1> head -30 <1> cd xlock xlock cd <1> cd <1> cd <1> cd <1> cd <1> cp <2> cd <1> dir mv <2> vi <1> pwd xlock cd xlock xterm & cd <1> ls set <2> set <2> set <3> echo <1> echo <3> unset <1> echo <1> cd xlock',USER4
0056,'elm elm elm',USER4
0057,'cd <1> df -k pwd cd <1> cd <1> df -k cd <1> df -k cd <1> df -k pwd cd <1> pwd df -k cd <1> pwd cd <1> pwd dir cd <1> dir cd <1> dir cd <1> dir cd <1> dir pwd cd <1> dir pwd ll cd <1> ll cd <1> ll df -k cd <1> dir ll cd <1> ll cd <1> ll dir',USER4
0058,'xstart logout',USER4
0059,'HFree logout',USER4
0060,'ensig & which <1> jobs logout',USER4
0061,'xlock matlab pwd cd <1> ll cd <1> ls mv <2> rm <1> ll %1 dir ll rm <1> cd <1> ll rm <1> cd <1> %1 ls cd <1> ll rm <1> dir ll rm <1> ll ll rm <1> whos ll ll rm <1> ll rm <1> ll cat <1> rm <1> ll ll rm <2> cd <1> ls ll vi <1> ls matlab matlab',USER4
0062,'rlogin <1>',USER4
0063,'elm',USER4
0064,'cd <1> cd <1> cd <1> cd <1> dir vi <1> dir vi <1> dir vi <1> dir cd <1> dir cd <1> cd <1> ll vi <1> make vi <1> make cd <1> cd <1> cat <1> dir <1> mv <2> mv <2> cat <1> cd <1> cd <1> vi <1> make cd <1> cd <1> dir <1> dir <1> cat <1> ll <1> ll <1> ll <1> vi <1> dir <1> dir <1> dir <1> | wc ls <1> | wc ls <1> | wc logout',USER4
